timestamp,src_ip,dst_ip,dst_port,protocol,bytes_sent,bytes_recv,duration_sec,packets,label,bytes_ratio,bytes_per_sec,prediction,anomaly_score
2024-05-25 01:57:02,10.0.3.174,45.156.250.25,5601,TCP,101255,7402,4.45,93,normal,13.677563150074294,23880.659340659342,normal,0.17199915419811462
2024-05-11 21:20:19,10.0.2.118,45.33.32.156,8080,TCP,72821,35964,23.37,61,normal,2.0247740859168637,4635.066041755432,normal,0.18045668594193004
2024-05-27 12:34:02,10.0.1.189,63.17.60.62,8443,TCP,14017,110533,18.44,16,normal,0.12681165976079758,6717.907227615964,normal,0.17973305507296783
2024-05-07 12:20:54,10.0.1.254,10.0.0.136,4444,TCP,4244720,458362,42.2,679,anomaly,9.260607858836773,111183.97163120566,normal,0.02461431590856017
2024-05-06 09:18:50,10.0.0.93,78.88.192.199,8443,UDP,727,34589,0.58,1,normal,0.02101763515466898,51935.29411764706,normal,0.1713806376362113
2024-05-01 21:34:45,10.0.3.254,162.137.98.183,53,TCP,33210,112143,21.25,38,normal,0.2961371094307319,6808.103044496486,normal,0.18015451268831256
2024-05-18 14:41:55,10.0.1.189,45.33.32.156,27017,TCP,8461,4705,31.44,9,normal,1.7979175520611985,417.43817374762205,normal,0.1800939076650701
2024-05-16 05:34:16,10.0.3.87,23.131.17.22,80,TCP,16583,17677,11.32,16,normal,0.9380586039144699,3000.0,normal,0.18174711513665437
2024-05-05 14:13:53,10.0.1.97,10.0.3.101,53,TCP,27,76297,10.12,1,normal,0.000353875593069281,7468.101761252447,normal,0.18041670129185933
2024-05-18 10:26:00,10.0.1.83,91.240.118.172,3306,TCP,112040,208533,37.92,100,normal,0.5372744972042929,8431.693845344555,normal,0.17735536602032248
2024-05-12 03:58:21,10.0.2.73,204.92.196.124,22,TCP,19694,161671,6.35,14,normal,0.12181453807709436,28118.604651162794,normal,0.17841014443581205
2024-05-09 21:40:25,10.0.3.174,91.240.118.172,8080,TCP,12637,64235,79.25,9,normal,0.19672769163708823,968.7712665406428,normal,0.17427802493897654
2024-05-15 20:47:10,10.0.3.174,45.156.250.25,9200,UDP,2019,107800,3.25,2,normal,0.018728954276861994,32781.79104477612,normal,0.1749269434606603
2024-05-11 10:44:59,10.0.0.218,109.38.130.67,5601,TCP,115757,50189,30.29,78,normal,2.306375772066149,5460.546232313261,normal,0.17722958603707578
2024-05-23 01:06:47,10.0.0.174,45.156.250.25,21,TCP,549306,612,2.25,375,normal,896.094616639478,234007.65957446807,normal,0.038384235378458476
2024-05-04 17:25:21,10.0.0.141,10.0.1.180,5601,TCP,4554,95539,10.16,4,normal,0.04766589909985346,9755.653021442495,normal,0.17838765622063102
2024-05-08 12:16:56,10.0.3.25,10.0.3.254,443,ICMP,6827,19223,64.28,7,normal,0.3551290054099043,404.62876669773226,normal,0.17377423008222276
2024-05-28 03:13:35,10.0.1.238,185.220.101.45,80,UDP,2338165056,25039,1207.86,532830,anomaly,93377.19872204473,1935651.9214212394,anomaly,-0.31341726257671404
2024-05-16 06:24:24,10.0.3.87,95.127.214.181,6379,ICMP,44109,860985,14.36,32,normal,0.051230798177903006,62592.94605809129,normal,0.16169832626396674
2024-05-26 20:19:05,10.0.0.141,10.0.1.148,27017,UDP,9818,58073,0.81,15,normal,0.1690601646175569,74605.4945054945,normal,0.16981453490120635
2024-05-16 12:56:31,10.0.1.254,91.107.50.170,5601,UDP,16186,527757,6.65,14,normal,0.03066935982022063,80584.14814814815,normal,0.16741499919060432
2024-05-19 00:29:56,10.0.1.180,23.129.64.214,3389,UDP,12226,1863,39.55,16,normal,6.559012875536481,355.3341740226986,normal,0.1774791713326302
2024-05-17 10:48:00,10.0.3.174,202.222.194.7,8080,TCP,5826,60572,3.86,4,normal,0.09618146699024317,16767.171717171717,normal,0.17877650258628114
2024-05-11 16:33:45,10.0.3.75,109.38.130.67,22,TCP,2609,1883,2.79,2,normal,1.384819532908705,1554.325259515571,normal,0.1775857113423403
2024-05-14 12:25:17,10.0.3.77,23.129.64.214,25,TCP,78151,48704,30.96,91,normal,1.6045785853608459,4084.1918866709593,normal,0.17956804680794913
2024-05-08 08:17:43,10.0.1.114,109.0.127.77,25,UDP,84174,5639,28.82,118,normal,14.924468085106383,3105.5670816044258,normal,0.1765299618639427
2024-05-06 13:08:32,10.0.1.220,162.247.74.201,8443,TCP,3935,4076,15.23,4,normal,0.9651704684817267,522.570123939987,normal,0.1809223798153386
2024-05-24 02:09:59,10.0.0.218,180.144.138.156,27017,TCP,9430,31867,4.41,7,normal,0.2959081209991214,9156.762749445677,normal,0.1790199745913118
2024-05-27 16:58:09,10.0.3.77,10.0.0.174,53,TCP,50500,244838,25.09,88,normal,0.20625798994441244,11724.414450178641,normal,0.1788954490240129
2024-05-11 23:42:35,10.0.1.254,189.136.27.236,22,TCP,2622,2248,39.97,2,normal,1.1658514895509116,121.53730970801098,normal,0.17893340578564804
2024-05-18 15:13:31,10.0.3.174,169.83.214.211,21,TCP,28917,2643695,25.05,20,normal,0.010938095756849502,106266.87872763419,normal,0.10816544939215944
2024-05-22 20:00:03,10.0.1.206,10.0.3.254,6379,TCP,4744,1688726,13.86,4,normal,0.0028092166466219823,121308.73925501434,normal,0.13272478140378013
2024-05-25 17:24:07,10.0.1.180,10.0.2.73,4444,TCP,1255966,903134,48.4,5045,anomaly,1.3906735980778067,44517.52577319588,normal,0.07072936328046725
2024-05-30 00:45:44,10.0.1.148,130.152.186.248,3389,TCP,12866,2705161,1.23,8,normal,0.004756092241425837,2043629.3233082707,anomaly,-0.005642206884034773
2024-05-05 21:28:41,10.0.1.238,61.18.96.37,3306,ICMP,667156,1463994,24.55,450,normal,0.45570920665712655,86456.38945233265,normal,0.1116937959920089
2024-05-18 07:41:31,10.0.0.93,98.140.227.95,443,TCP,3807,505163,84.92,4,normal,0.007536166472670262,5986.473770877441,normal,0.16239121709892018
2024-05-20 18:22:10,10.0.3.75,23.129.64.214,3306,TCP,93758,38346,31.23,123,normal,2.4449891777714035,4216.533673795085,normal,0.17956804680794913
2024-05-09 12:44:00,10.0.3.174,10.0.0.218,80,TCP,2580,162154,7.13,1,normal,0.015910702722703587,22784.78561549101,normal,0.17513437443498753
2024-05-15 08:49:50,10.0.3.75,10.0.1.114,8080,TCP,34431,172087,54.96,57,normal,0.20007786713774348,3750.7809662186705,normal,0.17637870517680637
2024-05-18 03:19:17,10.0.1.148,61.18.96.37,27017,TCP,56610,15168,21.93,46,normal,3.7319533258619555,3258.1933726736265,normal,0.18155008420818358
2024-05-01 08:11:36,10.0.3.75,10.0.3.25,5432,TCP,105,161364,25.83,1,normal,0.0006506987264896353,6227.111453914385,normal,0.1798655880995852
2024-05-12 15:55:42,10.0.3.187,46.26.60.251,53,UDP,21804,43580,89.52,21,normal,0.5003097680181731,729.5692925686232,normal,0.17216170240117606
2024-05-03 02:27:10,10.0.3.87,169.83.214.211,8080,TCP,3969,316062,12.68,3,normal,0.012557623005540034,25041.54929577465,normal,0.17702835894786006
2024-05-16 22:43:25,10.0.3.187,10.0.0.141,443,TCP,661007,1025494,20.27,559,normal,0.644573596165754,82793.37260677466,normal,0.12202260643443136
2024-05-18 04:23:00,10.0.3.25,10.0.1.97,443,UDP,10546,756898,3.05,20,normal,0.013933166776544824,243633.0158730159,normal,0.14491975640330657
2024-05-18 12:23:21,10.0.2.194,176.208.33.85,8443,UDP,2153,459206,14.54,3,normal,0.004688517378872709,31513.592896174865,normal,0.17450563616215675
2024-05-15 18:22:07,10.0.3.87,31.92.92.2,5601,TCP,163619,138099,46.76,155,normal,1.1847863866763215,6438.711054204012,normal,0.17600756264310946
2024-05-06 18:03:59,10.0.2.194,185.220.101.45,6379,UDP,7227,254967,22.42,5,normal,0.028344733456747512,11642.717584369448,normal,0.17985745187923263
2024-05-18 14:09:31,10.0.0.218,95.127.214.181,53,TCP,22060,93854,5.89,27,normal,0.2350434180384636,19351.252086811353,normal,0.17859566659885617
2024-05-07 15:05:19,10.0.0.174,23.129.64.214,443,TCP,4447,177439,29.65,7,normal,0.02506199278629396,6113.81512605042,normal,0.1789017163325241
2024-05-07 04:26:38,10.0.1.254,10.0.2.73,25,ICMP,5223,70246,30.2,4,normal,0.07435192961977025,2490.7260726072604,normal,0.17961245521789343
2024-05-10 21:57:27,10.0.0.218,205.160.62.11,53,TCP,93325,9464,100.62,143,normal,9.860010565240358,1020.5420969023035,normal,0.15763456688751776
2024-05-20 23:26:35,10.0.1.206,10.0.1.114,53,TCP,178855,383954,17.1,144,normal,0.46582281777812506,32721.453488372088,normal,0.17491416380165253
2024-05-20 19:19:20,10.0.1.254,193.199.92.89,21,UDP,132799,8528,30.68,239,normal,15.570289600187595,4591.520467836257,normal,0.16786408940707453
2024-05-19 18:24:29,10.0.0.237,87.222.76.161,53,TCP,16398,26660,48.1,16,normal,0.6150556993361089,893.3195020746888,normal,0.1788007269683089
2024-05-02 01:47:22,10.0.0.93,23.131.17.22,27017,TCP,11627,2417,20.84,15,normal,4.808519437551696,670.6781279847182,normal,0.1796753502297896
2024-05-09 03:25:29,10.0.1.220,10.0.3.174,5432,TCP,67820,78732,81.91,112,normal,0.861392300560121,1787.0015851725402,normal,0.1706126531951
2024-05-01 14:49:27,10.0.0.174,10.0.0.93,8080,UDP,1984,24258,39.32,1,normal,0.08178408013520755,665.7026889903602,normal,0.17918350873183325
2024-05-04 08:16:01,10.0.3.174,183.79.64.37,80,UDP,43233,50662,41.61,30,normal,0.8533446499417721,2251.138815631743,normal,0.1788562943862959
2024-05-26 12:29:55,10.0.1.238,10.0.2.73,25,TCP,78605,22112,83.95,54,normal,3.5546963324741103,1198.2986317668056,normal,0.16977861585810383
2024-05-25 18:16:55,10.0.3.101,31.92.92.2,5601,TCP,35390,175608,75.02,35,normal,0.20152725657568804,2808.8125665601706,normal,0.17347215709807118
2024-05-25 20:58:02,10.0.0.136,23.129.64.214,25,TCP,635,1100234,20.01,1,normal,0.0005771494271678324,54742.36698160118,normal,0.15901816491817294
2024-05-05 08:52:58,10.0.3.174,10.0.1.83,80,TCP,238812,1089,41.25,244,normal,219.09357798165138,5801.717049576783,normal,0.11838440065410777
2024-05-17 07:11:57,10.0.3.75,131.115.11.151,3306,TCP,18833,75407,25.51,29,normal,0.24974803734351794,3679.812573213588,normal,0.18267162168237572
2024-05-15 18:43:53,10.0.0.218,91.107.50.170,9200,TCP,40475,134989,12.48,49,normal,0.2998370249648122,13947.85373608903,normal,0.17940538641740866
2024-05-15 04:09:53,10.0.3.75,204.45.237.222,53,ICMP,45743,227961,7.8,41,normal,0.20066063642185977,34646.07594936709,normal,0.1777728383228035
2024-05-10 21:26:37,10.0.3.87,10.0.1.83,5432,TCP,60627,67384,19.58,44,normal,0.8997106180900794,6504.623983739837,normal,0.18208261489954847
2024-05-20 06:40:16,10.0.1.148,10.0.1.83,27017,TCP,101851,305723,5.96,104,normal,0.3331468906595491,67256.43564356436,normal,0.1699416671596723
2024-05-25 09:07:38,10.0.3.174,45.156.250.25,27017,TCP,3800,33430,34.89,3,normal,0.11366695581944901,1064.0182909402686,normal,0.17937164767031066
2024-05-10 14:38:51,10.0.1.97,214.110.68.155,27017,TCP,1693,99394,16.42,1,normal,0.017033049952210874,6119.067796610168,normal,0.17814151065244532
2024-05-30 17:05:15,10.0.0.93,10.0.0.237,8443,UDP,112862,5997,4.26,124,normal,18.816605535178393,27261.238532110096,normal,0.17124851435496347
2024-05-26 13:20:15,10.0.1.254,31.92.92.2,27017,UDP,8783,258855,13.6,10,normal,0.03393006150137528,19535.620437956204,normal,0.17761128374157176
2024-05-26 21:51:37,10.0.2.73,10.0.1.206,5601,TCP,7682820,1684531,71.44,8305,normal,4.560803831568649,130938.64970645795,anomaly,-0.07684349010116992
2024-05-19 09:38:30,10.0.1.189,202.222.194.7,80,TCP,149541,21875,23.62,187,normal,6.835847504114097,7226.644182124788,normal,0.17728982840724955
2024-05-04 11:51:30,10.0.1.254,10.0.1.220,5432,TCP,74246,304232,8.1,57,normal,0.2440432168765387,46155.85365853659,normal,0.17346464683965884
2024-05-05 15:28:22,10.0.3.87,45.33.32.156,5432,TCP,104305,1260,30.58,103,normal,82.71609833465503,3440.8409387222946,normal,0.14920305384864746
2024-05-06 12:57:32,10.0.2.73,63.17.60.62,3389,UDP,121,22389,22.57,1,normal,0.0054041983028137565,992.9422143802382,normal,0.18164933295971158
2024-05-06 08:13:23,10.0.3.174,130.152.186.248,27017,TCP,11510,173800,19.16,8,normal,0.06622516556291391,9621.495327102803,normal,0.18133197500341425
2024-05-06 23:58:50,10.0.1.180,10.0.3.174,22,UDP,556073,336164,3.46,417,normal,1.654166852587271,250628.37078651684,normal,0.12744638036961203
2024-05-20 02:14:43,10.0.2.194,10.0.1.189,27017,TCP,21480,1561,10.57,24,normal,13.751600512163892,2159.41893158388,normal,0.17888268405817448
2024-05-01 14:22:08,10.0.3.77,93.170.139.38,6379,UDP,7841,221006,3.72,6,normal,0.03547851425520459,59907.59162303664,normal,0.17308929460248174
2024-05-23 11:40:04,10.0.1.114,61.18.96.37,27017,UDP,3207,20561,5.44,3,normal,0.1559673183542457,4290.252707581228,normal,0.17939745157273146
2024-05-10 09:59:29,10.0.3.174,57.193.53.201,5432,TCP,90998,12829,2.43,60,normal,7.092595479345285,41038.339920948616,normal,0.17298586806427474
2024-05-11 05:01:41,10.0.1.238,87.222.76.161,443,TCP,2929,17165,60.25,2,normal,0.170627985552837,332.9577464788732,normal,0.17455270429422393
2024-05-09 09:23:44,10.0.3.87,169.83.214.211,8080,TCP,515759,77905,49.14,527,normal,6.62027314969322,12056.539398862713,normal,0.15275542224485483
2024-05-03 22:02:47,10.0.0.93,152.183.142.33,3306,UDP,2405,24545,32.75,2,normal,0.09797930416361118,820.3957382039573,normal,0.17904779037370672
2024-05-09 12:43:05,10.0.0.174,205.160.62.11,8080,TCP,55554,48277,8.14,78,normal,1.1507104685363934,12600.849514563106,normal,0.17915718164237904
2024-05-17 11:41:22,10.0.1.254,10.0.3.101,443,TCP,52414,746514,39.83,80,normal,0.07021158315640007,20008.214375156524,normal,0.16488529233762683
2024-05-01 10:19:27,10.0.3.174,10.0.1.83,53,TCP,61152,333944,9.38,98,normal,0.1831199748461573,41676.79324894515,normal,0.17408773311620834
2024-05-05 10:16:57,10.0.3.174,91.240.118.172,25,TCP,74089,4709,12.93,53,normal,15.730148619957538,6047.429009976977,normal,0.1756919643723045
2024-05-03 01:15:07,10.0.1.180,10.0.3.187,5432,TCP,15387,7110,9.64,13,normal,2.163830684854451,2309.753593429158,normal,0.1814197149908695
2024-05-30 20:55:05,10.0.1.180,189.136.27.236,6379,TCP,18064,3233,14.37,33,normal,5.5856524427953,1471.8037318590189,normal,0.18027869948084624
2024-05-17 00:43:08,10.0.1.97,64.39.138.32,6379,UDP,28627,3663,19.97,32,normal,7.8130458515283845,1608.8689586447433,normal,0.1801776635972141
2024-05-21 23:04:28,10.0.0.141,180.10.201.143,22,UDP,3364,5987,6.32,3,normal,0.5617902471609887,1456.5420560747664,normal,0.17931578425130684
2024-05-21 20:23:13,10.0.1.206,180.222.152.147,5432,ICMP,55490,166798,12.42,38,normal,0.33267585537083555,17754.632587859425,normal,0.18039995825725996
2024-05-08 11:50:34,10.0.1.206,214.110.68.155,3306,UDP,52200,119921,54.27,35,normal,0.4352829339070396,3165.734780209674,normal,0.17620512520373416
2024-05-18 08:38:49,10.0.1.148,10.0.1.254,443,TCP,23003,3314,23.65,15,normal,6.939064856711916,1108.0842105263157,normal,0.1805721389743027
2024-05-16 15:13:26,10.0.1.206,93.170.139.38,5432,TCP,7025,7537,68.39,5,normal,0.9319448129477315,212.61498028909332,normal,0.17343761049093082
2024-05-03 01:30:29,10.0.1.97,147.245.140.178,80,UDP,29856,48061,16.78,21,normal,0.6211976197411676,4615.936018957345,normal,0.18259956697948443
2024-05-21 22:11:35,10.0.2.118,10.0.1.180,25,TCP,55377,89150,78.75,60,normal,0.6211596056129488,1832.9359543436906,normal,0.17144266449353357
2024-05-11 11:48:44,10.0.1.220,180.10.201.143,53,TCP,2001762,7684,15.49,3963,normal,260.4765126870527,128893.26491340603,normal,0.03386450124647805
2024-05-07 23:00:03,10.0.1.206,152.183.142.33,9200,TCP,37377,26233,5.17,26,normal,1.424754135854235,12070.208728652753,normal,0.17938685383953085
2024-05-07 06:16:48,10.0.0.174,169.83.214.211,3389,TCP,5270,15707,31.96,5,normal,0.3354978354978355,654.3044291952589,normal,0.17969871649929087
2024-05-06 03:47:44,10.0.0.93,57.193.53.201,443,TCP,5912,77775,45.39,6,normal,0.0760131660152232,1839.6790503407342,normal,0.1782532175445064
2024-05-30 23:45:40,10.0.0.237,169.83.214.211,6379,UDP,355195,54592,8.43,644,normal,6.506237063359771,48040.679953106686,normal,0.15941917219817586
2024-05-17 13:57:06,10.0.0.136,23.129.64.214,9200,TCP,32425,77355,0.31,29,normal,0.4191659341227571,267756.0975609756,normal,0.13651021977294409
2024-05-29 17:30:39,10.0.1.97,10.0.1.180,22,TCP,30311,186952,15.06,22,normal,0.16213165875915336,14331.332453825857,normal,0.18034248137266656
2024-05-29 19:16:08,10.0.2.194,162.247.74.201,3389,UDP,58775,248260,30.86,41,normal,0.23674681081603635,9917.151162790697,normal,0.1790359697228377
2024-05-19 19:00:12,10.0.0.136,64.39.138.32,443,UDP,6933,54696,13.71,6,normal,0.12675283836407847,4462.635771180304,normal,0.18232043513269935
2024-05-12 18:50:21,10.0.3.101,10.0.2.73,443,TCP,13134,323425,57.2,25,normal,0.0406089801067323,5873.6300174520065,normal,0.17365003073354568
2024-05-09 09:37:01,10.0.3.254,10.0.3.187,27017,TCP,9592,147180,1.96,11,normal,0.06517145555472513,76102.91262135922,normal,0.172661752327869
2024-05-14 03:08:18,10.0.1.54,10.0.3.187,5601,TCP,2171,49884,3.2,1,normal,0.043520096221309014,15774.242424242422,normal,0.177665796356764
2024-05-17 19:51:34,10.0.1.206,138.63.106.248,443,TCP,506,214951,19.36,1,normal,0.002354013919386654,11071.788283658787,normal,0.1788566017554295
2024-05-17 23:59:40,10.0.2.73,176.208.33.85,3389,TCP,13244,124008,17.91,13,normal,0.10679870009434798,7620.8772903942245,normal,0.18008605832427177
2024-05-06 10:58:47,10.0.2.73,10.0.0.141,6379,TCP,105935,743716,18.9,90,normal,0.14243993346931696,44718.47368421053,normal,0.16263669511408463
2024-05-19 04:06:07,10.0.3.254,204.92.196.124,21,UDP,2015,240186,13.1,2,normal,0.008389296673008946,18348.560606060608,normal,0.17805017947353569
2024-05-28 21:10:37,10.0.3.75,10.0.2.118,5601,TCP,3158,128754,15.81,3,normal,0.024527202827074678,8291.137649277183,normal,0.17827394460455254
2024-05-08 11:02:28,10.0.0.237,91.107.50.170,21,UDP,328032,26208,29.82,529,normal,12.51600595215384,11839.572192513368,normal,0.1671898274899793
2024-05-30 01:09:05,10.0.2.73,185.220.101.45,80,TCP,1556075592,15247,2812.18,1649917,anomaly,102051.12749213011,553320.0246774859,anomaly,-0.3172192474168943
2024-05-06 21:42:23,10.0.3.187,214.110.68.155,3306,UDP,11740,58036,37.14,18,normal,0.20228474938401364,1873.6842105263156,normal,0.1812175600314253
2024-05-23 08:31:56,10.0.2.73,10.0.3.187,6379,TCP,1698,127131,27.11,1,normal,0.013356196708932448,4734.619625137817,normal,0.17967453743328565
2024-05-14 18:45:56,10.0.0.136,10.0.2.118,3306,UDP,2276,5389,104.68,1,normal,0.42226345083487943,73.15327352548196,normal,0.15924121967404975
2024-05-25 00:28:22,10.0.0.136,10.0.1.180,139,TCP,3296023,996286,57.98,7822,anomaly,3.3083067429365234,73903.39187327823,anomaly,-0.004051226937266783
2024-05-04 00:37:04,10.0.3.87,64.39.138.32,9200,TCP,12466,19884,79.51,8,normal,0.6269047020367111,406.3559854289662,normal,0.17307883761615817
2024-05-09 17:41:32,10.0.1.180,147.245.140.178,53,TCP,76385,489152,1.31,110,normal,0.1561576848143628,401090.0709219858,normal,0.12538751148230515
2024-05-21 06:28:20,10.0.1.180,189.136.27.236,22,TCP,3414,78011,31.5,2,normal,0.04376249807721889,2576.740506329114,normal,0.1794983612555638
2024-05-23 08:39:06,10.0.1.180,10.0.0.218,8080,TCP,5284,117656,48.56,9,normal,0.044910205087670095,2526.5104808877927,normal,0.17731935876501048
2024-05-25 21:11:39,10.0.2.118,10.0.1.97,5601,TCP,137733,2106940,39.69,93,normal,0.06537107588679512,56412.99321437547,normal,0.12026149294992416
2024-05-26 01:04:09,10.0.3.174,183.79.64.37,6379,ICMP,2880,22106,38.26,4,normal,0.1302754783552721,651.3555787278415,normal,0.17983414840436035
2024-05-04 11:19:55,10.0.1.97,180.144.138.156,80,UDP,17639,137382,8.59,24,normal,0.1283928870384254,17839.010356731877,normal,0.17863267527160337
2024-05-26 21:06:35,10.0.1.238,204.45.237.222,8443,ICMP,12477,33615,10.61,13,normal,0.3711625416468348,4303.6414565826335,normal,0.1823738304473147
2024-05-19 02:39:59,10.0.1.180,202.222.194.7,25,TCP,32508,105345,33.07,22,normal,0.308583145064834,4155.954175459752,normal,0.17784111201071512
2024-05-02 07:23:34,10.0.3.87,189.136.27.236,21,UDP,2750,37059,43.06,5,normal,0.0742039935240151,922.3586654309545,normal,0.1780468951092411
2024-05-21 15:12:05,10.0.1.180,10.0.1.254,80,UDP,89917,9357452,14.25,60,normal,0.009609131886636245,658353.2404181185,anomaly,-0.00016027028089099504
2024-05-23 21:50:56,10.0.0.93,10.0.0.136,9200,TCP,3457,36010,33.25,4,normal,0.09599844491960789,1183.4182908545727,normal,0.17997495013785503
2024-05-04 23:10:53,10.0.2.118,23.129.64.214,53,TCP,14801,761741,2.99,13,normal,0.019430463332729454,251308.0906148867,normal,0.14519999496531683
2024-05-03 12:38:42,10.0.0.174,202.222.194.7,22,TCP,606,48373,31.0,1,normal,0.012527390747095548,1574.8874598070738,normal,0.18027355549874974
2024-05-19 11:18:34,10.0.0.174,10.0.0.93,27017,UDP,122564,5404,26.27,91,normal,22.676040703052728,4852.787258248009,normal,0.17188516742516458
2024-05-08 20:05:38,10.0.0.136,204.45.237.222,3389,TCP,89039,5413,34.54,102,normal,16.446065755448835,2726.6743648960737,normal,0.1717745011621123
2024-05-12 05:42:51,10.0.0.174,61.18.96.37,25,TCP,13643,268088,71.53,14,normal,0.05088981644155486,3933.14253804272,normal,0.17148854472414155
2024-05-13 06:02:56,10.0.1.148,10.0.1.97,25,TCP,18768,2233001,10.29,29,normal,0.008404829014931468,216724.63907603468,normal,0.11222704287359386
2024-05-20 09:53:21,10.0.1.83,10.0.1.206,5601,UDP,69512,116722,53.13,74,normal,0.5955295871422085,3498.666165696036,normal,0.17497871840282658
2024-05-11 23:07:35,10.0.0.174,10.0.1.97,8443,TCP,26146,600588,81.69,26,normal,0.04353393085787452,7662.721604108083,normal,0.16360973401207723
2024-05-27 18:41:10,10.0.1.220,138.63.106.248,5432,ICMP,33740,28921,2.16,26,normal,1.1665859899038793,27726.106194690263,normal,0.17864238668880883
2024-05-07 18:23:48,10.0.3.187,10.0.0.174,3306,TCP,13568,4304,173.53,10,normal,3.1516840882694543,102.9315210505097,normal,0.11989167857966304
2024-05-22 03:22:12,10.0.3.254,10.0.3.174,8443,TCP,88,77846,10.28,1,normal,0.0011304224954076585,7508.092485549134,normal,0.17942047262768018
2024-05-13 21:31:13,10.0.3.87,131.115.11.151,5601,TCP,26981,285234,17.8,24,normal,0.09459217837923116,17442.17877094972,normal,0.17901088005637078
2024-05-29 22:02:32,10.0.0.136,193.199.92.89,53,TCP,185725,310336,27.15,187,normal,0.5984623167717674,18204.07339449541,normal,0.17493087810810165
2024-05-07 13:24:21,10.0.0.93,64.39.138.32,6379,TCP,5570,336221,0.27,6,normal,0.016566435271933425,923759.4594594595,normal,0.06472627378424817
2024-05-22 04:13:25,10.0.3.77,204.92.196.124,8443,TCP,146431,583156,16.67,221,normal,0.25110047551517,43505.48598688133,normal,0.16137927241816807
2024-05-12 19:29:14,10.0.3.101,98.140.227.95,6379,UDP,445165,65687,32.01,581,normal,6.776960784313726,15909.43631267518,normal,0.163081648853398
2024-05-26 23:48:57,10.0.3.174,10.0.1.180,6379,UDP,14605,48751,69.68,13,normal,0.29957745323268786,907.9392376038979,normal,0.17331702107592734
